Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Powley, T.L., Spaulding, R.A., Haglof, S.A.","7006558768; 37113064600; 6506880846","Vagal afferent innervation of the proximal gastrointestinal tract mucosa: Chemoreceptor and mechanoreceptor architecture",2011,"Journal of Comparative Neurology",519,"4",,644,660,,91,10.1002/cne.22541,"https://www.scopus.com/inward/record.url?eid=2-s2.0-78751540851&partnerID=40&md5=be15a2becedee1142a1b6365cfd05ac6",Article,Final,"All Open Access, Green",Scopus,2-s2.0-78751540851
"Powers, M.R.","35262829500","Combining information about … combining information",2008,"Journal of Risk Finance",9,"5",,417,421,,1,10.1108/15265940810916085,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85015649551&partnerID=40&md5=92837fca096b7bcf328ee3ee940a658e",Editorial,Final,"",Scopus,2-s2.0-85015649551
"Powell, D., Yu, J., DeWolf, M., Holyoak, K.J.","55749510700; 57196035125; 55786215300; 7003743200","The Love of Large Numbers: A Popularity Bias in Consumer Choice",2017,"Psychological Science",28,"10",,1432,1442,,13,10.1177/0956797617711291,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85031095073&partnerID=40&md5=5152a0211e1b79dd0e83588d6ef0ca65",Article,Final,"",Scopus,2-s2.0-85031095073
"Pourtousi, Z., Khalijian, S., Ghanizadeh, A., Babanezhad, M., Nakhjiri, A.T., Marjani, A., Shirazian, S.","57219980891; 57223305201; 35098605300; 57192412689; 57200501422; 36125060900; 25959724400","Ability of neural network cells in learning teacher motivation scale and prediction of motivation with fuzzy logic system",2021,"Scientific Reports",11,"1", 9721,,,,1,10.1038/s41598-021-89005-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105501007&partnerID=40&md5=6453294f9dad7ea0df7f96d119b35525",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85105501007
"Pouget, A., Beck, J.M., Ma, W.J., Latham, P.E.","7003872698; 15047518100; 9276846900; 36156215300","Probabilistic brains: Knowns and unknowns",2013,"Nature Neuroscience",16,"9",,1170,1178,,283,10.1038/nn.3495,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883460930&partnerID=40&md5=80438626421bc14b7dd702f2c700e3f8",Review,Final,"All Open Access, Green",Scopus,2-s2.0-84883460930
"Pouget, A., Deneve, S., Duhamel, J.-R.","7003872698; 6602241278; 7102076700","A Computational Neural Theory of Multisensory Spatial Representations",2012,"Crossmodal Space and Crossmodal Attention",,"",,,,,,10.1093/acprof:oso/9780198524861.003.0006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84921258489&partnerID=40&md5=c41b3cde190c9aa56c2b467a6dfe1ce1",Book Chapter,Final,"",Scopus,2-s2.0-84921258489
"Pouget, A., Deneve, S., Duhamel, J.","7003872698; 6602241278; 7102076700","A computational perspective on the neural basis of multisensory spatial representations",2002,"Nature Reviews Neuroscience",3,"9",,741,747,,297,10.1038/nrn914,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0036716263&partnerID=40&md5=ec7fc0b812129cd5d3ff7bce1c1f037b",Article,Final,"",Scopus,2-s2.0-0036716263
"Poudineh, R., Jamasb, T.","55838480500; 6603163315","Determinants of investment under incentive regulation: The case of the Norwegian electricity distribution networks",2016,"Energy Economics",53,"",,193,202,,4,10.1016/j.eneco.2014.08.021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84956641295&partnerID=40&md5=d2b9cadcd3b8f476b010b33600d23d97",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84956641295
"Potter, G.E., Wong, J., Sugimoto, J., Diallo, A., Victor, J.C., Neuzil, K., Elizabeth Halloran, M.","35337759700; 57210342675; 56442192100; 7102961667; 36819946600; 7003879994; 57210339794","Networks of face-to-face social contacts in Niakhar, Senegal",2019,"PLoS ONE",14,"8", e0220443,,,,3,10.1371/journal.pone.0220443,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070394804&partnerID=40&md5=c792798293e6b19304c4020badbf67a9",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85070394804
"Postle, B.R., Ferrarelli, F., Hamidi, M., Feredoes, E., Massimini, M., Peterson, M., Alexander, A., Tononi, G.","7003403348; 6507956735; 14827879500; 15753701000; 6603479164; 57212478924; 57215803071; 7006294703","Repetitive transcranial magnetic stimulation dissociates working memory manipulation from retention functions in the prefrontal, but not posterior parietal, cortex",2006,"Journal of Cognitive Neuroscience",18,"10",,1712,1722,,109,10.1162/jocn.2006.18.10.1712,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33749437296&partnerID=40&md5=9769630f2c542a2f10e2040a66b4a0cf",Article,Final,"All Open Access, Green",Scopus,2-s2.0-33749437296
"Post, T., Kopa, M.","7005054954; 23034923500","Aggregate investor preferences and beliefs: A comment",2013,"Journal of Empirical Finance",23,"",,187,190,,,10.1016/j.jempfin.2013.06.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84881221144&partnerID=40&md5=55ccf4776ab14b764263c8ace6e986dd",Article,Final,"",Scopus,2-s2.0-84881221144
"Post, T.","7005054954","Empirical Tests for Stochastic Dominance Efficiency",2003,"Journal of Finance",58,"5",,1905,1932,,140,10.1111/1540-6261.00592,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0142219308&partnerID=40&md5=c553cbea491ccccf8cf177ce400315b9",Review,Final,"",Scopus,2-s2.0-0142219308
"Porges, S.W., Byrne, E.A.","7006116851; 7102853422","Research methods for measurement of heart rate and respiration",1992,"Biological Psychology",34,"2-3",,93,130,,246,10.1016/0301-0511(92)90012-J,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0026486492&partnerID=40&md5=acdaad3187ce218841ca204b926b78bd",Article,Final,"",Scopus,2-s2.0-0026486492
"Popov, V., Ostarek, M., Tenison, C.","56542367700; 57008330700; 53985337700","Practices and pitfalls in inferring neural representations",2018,"NeuroImage",174,"",,340,351,,13,10.1016/j.neuroimage.2018.03.041,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044584744&partnerID=40&md5=32fabb4df8719e7022cba343c5900c27",Review,Final,"All Open Access, Green",Scopus,2-s2.0-85044584744
"Popoola, O.M., Munda, J., Mpanda, A.","24491050900; 11339650200; 57195396698","Residential lighting load profile modelling: ANFIS approach using weighted and non-weighted data",2018,"Energy Efficiency",11,"1",,169,188,,4,10.1007/s12053-017-9557-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027684397&partnerID=40&md5=e7cf21eb457a96fd7d58ae9d6e081012",Article,Final,"",Scopus,2-s2.0-85027684397
"Popoola, O.M.","24491050900","Modeling of residential lighting load profile using adaptive neuro fuzzy inference system (ANFIS)",2016,"International Journal of Green Energy",13,"14",,1473,1482,,1,10.1080/15435075.2016.1206013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84995468296&partnerID=40&md5=617054d2a232995ae64b4455ae4d6351",Article,Final,"",Scopus,2-s2.0-84995468296
"Poortinga, Y.H.","7004708804","EQUIVALENCE OF CROSS‐CULTURAL DATA: AN OVERVIEW OF BASIC ISSUES",1989,"International Journal of Psychology",24,"6",,737,756,,226,10.1080/00207598908247842,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84965409430&partnerID=40&md5=3f0ab380f9911af60b806a70b72d592d",Article,Final,"",Scopus,2-s2.0-84965409430
"Pooley, C.M., Bishop, S.C., Doeschl-Wilson, A., Marion, G.","56494683200; 7202504840; 16244902100; 7004424646","Posterior-based proposals for speeding up Markov chain Monte Carlo",2019,"Royal Society Open Science",6,"11", 190619,,,,1,10.1098/rsos.190619,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076175586&partnerID=40&md5=670e6003f4bfee3997ccc660a678d42c",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85076175586
"Poojary, S., Rao, C.V., Venkatesh, K.H.","57193117487; 57193117463; 56180403100","Scleropyrum pentandrum (Dennst.) mabb—oil as a feedstock for biodiesel production—engine performance and emission studies",2017,"International Journal of Green Energy",14,"3",,279,288,,3,10.1080/15435075.2016.1254637,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85010903487&partnerID=40&md5=ff4fbcfb5a6b001abbdac95dde7d715a",Article,Final,"",Scopus,2-s2.0-85010903487
"Pontoni, A.C., Hernández, B.R.R., Huerta, J.A.A.","57217098882; 7005103053; 57217102530","A historic epistemological analysis of the parameter and its influence on teaching statistics | UN ANÁLISIS EPISTEMOLÓGICO HISTÓRICO DEL PARÁMETRO Y SU INFLUENCIA EN LA ENSEÑANZA DE LA ESTADÍSTICA",2020,"Interciencia",45,"5",,216,222,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85086223805&partnerID=40&md5=439ee40d10c57e9b0306b5717579e4f2",Article,Final,"",Scopus,2-s2.0-85086223805
"Ponomarev, V.A., Kropotov, Yu.D.","7203003117; 57219012196","Bayesian parallel factor analysis for the study of event-related potentials",2020,"Zhurnal Vysshei Nervnoi Deyatelnosti Imeni I.P. Pavlova",70,"6",,837,851,,,10.31857/S004446772006009X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099566203&partnerID=40&md5=510160fff2248799190ba36c4ca49a5b",Article,Final,"",Scopus,2-s2.0-85099566203
"Ponnet, K.S., Roeyers, H., Buysse, A., De Clercq, A., Van der Heyden, E.","6505804802; 6701645061; 7004229321; 7003847017; 7801408440","Advanced mind-reading in adults with Asperger syndrome",2004,"Autism",8,"3",,249,266,,69,10.1177/1362361304045214,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4444286606&partnerID=40&md5=70261bd117340fe10ff58279c19a3b7b",Article,Final,"",Scopus,2-s2.0-4444286606
"Pond, G.R., Tang, P.A., Welch, S.A., Chen, E.X.","7004970924; 12544548900; 16644270100; 7402316091","Trends in the application of dynamic allocation methods in multi-arm cancer clinical trials",2010,"Clinical Trials",7,"3",,227,234,,15,10.1177/1740774510368301,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77952769492&partnerID=40&md5=3ce3c077d1c3348cb4a9f39b84858148",Review,Final,"",Scopus,2-s2.0-77952769492
"Pomee, M.S., Ashfaq, M., Ahmad, B., Hertig, E.","6504367515; 21734205100; 55340071000; 56765950000","Modeling regional precipitation over the Indus River basin of Pakistan using statistical downscaling",2020,"Theoretical and Applied Climatology",142,"1-2",,29,57,,5,10.1007/s00704-020-03246-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85086790001&partnerID=40&md5=2e8a4886c66517cbbefb13bf88e11c2e",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85086790001
"Polo-Silva, C.J., Galván-Magaña, F., Delgado-Huertas, A.","16646940200; 6701865332; 14015420100","Trophic inferences of blue shark (Prionace glauca) in the Mexican Pacific from stable isotope analysis in teeth",2012,"Rapid Communications in Mass Spectrometry",26,"14",,1631,1638,,12,10.1002/rcm.6275,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84862732735&partnerID=40&md5=d7d11315fe7a34f95dfe6094ec3c6720",Article,Final,"",Scopus,2-s2.0-84862732735
"Pollock, J.L.","7203035318","How to use probabilities in reasoning",1991,"Philosophical Studies",64,"1",,65,85,,1,10.1007/BF00356090,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34249921703&partnerID=40&md5=04cf1a57ebbe195405abf01a0ff177ea",Article,Final,"",Scopus,2-s2.0-34249921703
"Pollet, T.V.","16231030200","Grounding the data. A response to: Population finiteness is not a concern for null hypothesis significance testing when studying human behavior",2015,"Frontiers in Psychology",6,"", 1169,,,,,10.3389/fpsyg.2015.01169,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85118879849&partnerID=40&md5=1f6d23892446ed6f3e6266f7ffeffb6f",Note,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85118879849
"Pollard, P., Richardson, J.T.","7005371678; 57198276283","On the Probability of Making Type I Errors",1987,"Psychological Bulletin",102,"1",,159,163,,72,10.1037/0033-2909.102.1.159,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0005149546&partnerID=40&md5=3dcf5ca09c3dedef963f3897267788bc",Article,Final,"",Scopus,2-s2.0-0005149546
"Pollard, P.","7005371678","Intuitive judgments of proportions, means, and variances: A review",1984,"Current Psychology",3,"1",,5,18,,30,10.1007/BF02686528,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249184654&partnerID=40&md5=26d0c3c55bc1c071309bbd478354353b",Review,Final,"",Scopus,2-s2.0-51249184654
"Pollard, D., Wylie, C.E., Verheyen, K.L.P., Newton, J.R.","57194702949; 26322156900; 55694529900; 55981563400","Assessment of horse owners’ ability to recognise equine laminitis: A cross-sectional study of 93 veterinary diagnosed cases in Great Britain",2017,"Equine Veterinary Journal",49,"6",,759,766,,10,10.1111/evj.12704,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021715826&partnerID=40&md5=4991f730b126862005f993f79f071251",Article,Final,"",Scopus,2-s2.0-85021715826
"Polk, C., Thompson, S., Vuolteenaho, T.","7003355611; 7403233362; 6507858141","Cross-sectional forecasts of the equity premium",2006,"Journal of Financial Economics",81,"1",,101,141,,79,10.1016/j.jfineco.2005.03.013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33745136121&partnerID=40&md5=ebcbfc911caec7ae41e5d13f67bb5cc8",Article,Final,"All Open Access, Green",Scopus,2-s2.0-33745136121
"Polit, D.F., Beck, C.T.","6603400791; 7402419235","Generalization in quantitative and qualitative research: Myths and strategies",2010,"International Journal of Nursing Studies",47,"11",,1451,1458,,503,10.1016/j.ijnurstu.2010.06.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77956188204&partnerID=40&md5=702a7620d6bfdfeca5b1574c244d2284",Article,Final,"All Open Access, Green",Scopus,2-s2.0-77956188204
"Polich, J.","7006796578","On P300 Latency and Correlational Inference",1984,"Psychophysiology",21,"6",,710,711,,6,10.1111/j.1469-8986.1984.tb00262.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0007905145&partnerID=40&md5=7a091d13903ff14bf36ab36ea6a29f8f",Article,Final,"",Scopus,2-s2.0-0007905145
"Polanski, A., Kimmel, M., Chakraborty, R.","6701560256; 7006669306; 8747937800","Application of a time-dependent coalescence process for inferring the history of population size changes from DNA sequence data",1998,"Proceedings of the National Academy of Sciences of the United States of America",95,"10",,5456,5461,,34,10.1073/pnas.95.10.5456,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0032510681&partnerID=40&md5=3a577825a2499fcddafaf2f20a0d3182",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-0032510681
"Polakow, D.A.","6602764212","If a portfolio manager who cannot count finds a four-leaf clover, is he still lucky?",2010,"Investment Analysts Journal",72,"1",,53,71,,4,10.1080/10293523.2010.11082523,"https://www.scopus.com/inward/record.url?eid=2-s2.0-78649798788&partnerID=40&md5=43bf778952fac98d8b4520c542686dc1",Article,Final,"",Scopus,2-s2.0-78649798788
"Pokern, Y., Eltzner, B., Huckemann, S.F., Beeken, C., Stubbe, J., Tkach, I., Bennati, M., Hiller, M.","6504684475; 40761190300; 24478373700; 57225092289; 7102245158; 36992580000; 57203614237; 57208242438","Statistical analysis of ENDOR spectra",2021,"Proceedings of the National Academy of Sciences of the United States of America",118,"27", e2023615118,,,,2,10.1073/pnas.2023615118,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109180018&partnerID=40&md5=00df3115cddc7cbf2a14e8e352122fdd",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85109180018
"Poitras, M.A., Sutter, D.","6701582681; 57156693900","Property rights and resource use: evidence from MLB starting pitchers",2020,"Applied Economics",52,"60",,6514,6524,,,10.1080/00036846.2020.1803486,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089535186&partnerID=40&md5=fed239bcb844beb73ceaee0ea17f9fe8",Article,Final,"",Scopus,2-s2.0-85089535186
"Poirier, D.J.","8343850700","Exchangeability, Representation Theorems, and Subjectivity",2012,"The Oxford Handbook of Bayesian Econometrics",,"",,,,,,10.1093/oxfordhb/9780199559084.013.0003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924567484&partnerID=40&md5=3a39322435243ae6774335569590c0a7",Book Chapter,Final,"",Scopus,2-s2.0-84924567484
"Poggiali, G., Chiaraluce, L., Di Stefano, R., Piana Agostinetti, N.","57193348021; 56016982500; 12787675300; 57188859965","Change-point analysis of v P/V S ratio time-series using a trans-dimensional McMC algorithm: Applied to the Alto Tiberina Near Fault Observatory seismic network (Northern Apennines, Italy)",2019,"Geophysical Journal International",217,"2",,1217,1231,,2,10.1093/gji/ggz078,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063753125&partnerID=40&md5=2166c086654b5db8a17918fd5873ff6e",Article,Final,"",Scopus,2-s2.0-85063753125
"Plis, S.M., Sui, J., Lane, T., Roy, S., Clark, V.P., Potluru, V.K., Huster, R.J., Michael, A., Sponheim, S.R., Weisend, M.P., Calhoun, V.D.","8970496000; 56579803600; 7101662175; 7404587557; 7102647868; 6504765606; 15044578000; 26321806300; 6701769226; 6603631197; 7003595227","High-order interactions observed in multi-task intrinsic networks are dominant indicators of aberrant brain function in schizophrenia",2014,"NeuroImage",102,"P1",,35,48,,13,10.1016/j.neuroimage.2013.07.041,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84908346855&partnerID=40&md5=e5b1213d597263e1f930d8cd4f4df86e",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84908346855
"Plechanovová, B.","37054522600","Coalitions in the EU Council: Pitfalls of multidimensional analysis",2011,"AUCO Czech Economic Review",5,"3",,249,266,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80855164502&partnerID=40&md5=7926572b676f87ebeb06eac064bc39fd",Article,Final,"",Scopus,2-s2.0-80855164502
"Platkiewicz, J., Saccomano, Z., McKenzie, S., English, D., Amarasingham, A.","36572530600; 57219523348; 52464137900; 16241408100; 6508046974","Monosynaptic inference via finely-timed spikes",2021,"Journal of Computational Neuroscience",49,"2",,131,157,,2,10.1007/s10827-020-00770-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099944202&partnerID=40&md5=b5bae2f7a51d3497b558dec34c0da6f7",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85099944202
"Platek, S.M., Keenan, J.P., Gallup Jr., G.G., Mohamed, F.B.","55929316200; 15032891600; 7005377058; 7103187924","Where am I? The neurological correlates of self and other",2004,"Cognitive Brain Research",19,"2",,114,122,,239,10.1016/j.cogbrainres.2003.11.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1542351276&partnerID=40&md5=1ea1be2cb85fed6eaa77beecb2a5ae8c",Article,Final,"",Scopus,2-s2.0-1542351276
"Plake, B.S., Wise, S.L.","6603689848; 7202622563","Dynamics of guessing behavior: Between-group versus within-group designs",1986,"Bulletin of the Psychonomic Society",24,"4",,251,253,,2,10.3758/BF03330131,"https://www.scopus.com/inward/record.url?eid=2-s2.0-2842532267&partnerID=40&md5=71d2880dc77d9b8f30f8391f413e9a1b",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-2842532267
"Plací, S., Eckert, J., Rakoczy, H., Fischer, J.","57006805300; 57195580344; 6603197001; 57210537831","Long-tailed macaques (Macaca fascicularis) can use simple heuristics but fail at drawing statistical inferences from populations to samples",2018,"Royal Society Open Science",5,"9", 181025,,,,6,10.1098/rsos.181025,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054542930&partnerID=40&md5=6ea4be3cfec64bb736d06df66f292dda",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85054542930
"Pittenger, D.J.","7003844237","Hypothesis testing as a moral choice",2001,"Ethics and Behavior",11,"2",,151,162,,6,10.1207/S15327019EB1102_3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0035615035&partnerID=40&md5=9043668239acbb6ca69e2336565271a6",Article,Final,"",Scopus,2-s2.0-0035615035
"Pitombeira, D.O., De Souza, Â.M.L., Fernandes, A.P.N.L., Araújo, J.N.M., Da Silva, A.B., Vitor, A.F.","57204653424; 57204662130; 56921273400; 56921366800; 57204660463; 55189151200","Patients with dry eye admitted to an intensive care unit | Características dos pacientes com ressecamento ocular internados em unidade de terapia intensive | Pacientes con sequedad ocular internados en unidad de terapia intensiva",2018,"Cogitare Enfermagem",23,"2", e53081,,,,1,10.5380/ce.v23i2.53081,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056565622&partnerID=40&md5=4213122e19d828757e4f4e10ac8686a1",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85056565622
"Pitcher, B., Alaqla, A., Noujeim, M., Wealleans, J.A., Kotsakis, G., Chrepa, V.","57193311663; 57193362559; 13007604800; 37105439500; 55633117700; 56018567000","Binary Decision Trees for Preoperative Periapical Cyst Screening Using Cone-beam Computed Tomography",2017,"Journal of Endodontics",43,"3",,383,388,,9,10.1016/j.joen.2016.10.046,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013269717&partnerID=40&md5=69e0ddd99a1dedaa71488e1a866d2619",Article,Final,"",Scopus,2-s2.0-85013269717
"Pisani, D., Pett, W., Dohrmann, M., Feuda, R., Rota-Stabelli, O., Philippe, H., Lartillot, N., Wörheide, G.","7003342002; 37034877800; 23980083400; 53463548400; 15048447700; 7005561370; 6602232683; 6602867063","Genomic data do not support comb jellies as the sister group to all other animals",2015,"Proceedings of the National Academy of Sciences of the United States of America",112,"50",,15402,15407,,181,10.1073/pnas.1518127112,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84950103731&partnerID=40&md5=aed4d17385c652923dd685326fb50373",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84950103731
"Pirgazi, J., Khanteymoori, A.R.","57189893661; 24765076000","A robust gene regulatory network inference method base on Kalman filter and linear regression",2018,"PLoS ONE",13,"7", e0200094.,,,,17,10.1371/journal.pone.0200094,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049724959&partnerID=40&md5=9ee2a3c23cce1ce0cd945962a4ae62ed",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85049724959
"Pipalava, D., Kotwal, C.","57189225792; 56247307400","ANFIS-PI controller based coordinated control scheme of variable speed PMSG based WECS to improve LVRT capability of wind farm comprising fixed speed SCIG based WECS",2016,"Indian Journal of Science and Technology",9,"44", 95253,,,,1,10.17485/ijst/2016/v9i44/95253,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85002142094&partnerID=40&md5=b18ae93f1e3d096caa74d9216cfb6013",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85002142094
"Pinotsis, D.A.","22954126400","Statistical decision theory and multiscale analyses of human brain data",2020,"Journal of Neuroscience Methods",346,"", 108912,,,,3,10.1016/j.jneumeth.2020.108912,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089898906&partnerID=40&md5=5da45f475a7bab7fd45c1f6a5aead7a1",Review,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85089898906
"Pinheiro, F.L., Prado, G., Ito, S., Simon, J.D., Wakamatsu, K., Anelli, L.E., Andrade, J.A.F., Glass, K.","56331750400; 57213698377; 7404826072; 35432802500; 7102008426; 13105574500; 56673579000; 55266709300","Chemical characterization of pterosaur melanin challenges color inferences in extinct animals",2019,"Scientific Reports",9,"1", 15947,,,,8,10.1038/s41598-019-52318-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074427060&partnerID=40&md5=c68fa7db0f1fef473b9f77cdfc811246",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85074427060
"Pineau, P., Dau, F.","37013712000; 6603317696","Characterization of mechanical properties variability in a composite material using a subsampling procedure | Évaluation de la dispersion des propriétés mécaniques d'un matériau composite par sous-échantillonnage",2012,"Annales de Chimie: Science des Materiaux",37,"2-4",,415,431,,,10.3166/RCMA.22.415-431,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84875459049&partnerID=40&md5=d434624ff67db4934e782c21474a7dc6",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84875459049
"Pilbeam, K., Preston, H.","7801505276; 57209411573","An empirical investigation of the performance of Japanese mutual funds: Skill or luck?",2019,"International Journal of Financial Studies",7,"1", 6,,,,4,10.3390/ijfs7010006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067678584&partnerID=40&md5=47eff025198c41dec790e78c0e48a594",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85067678584
"Pievatolo, A., Rotondi, R.","6603341717; 35612882100","Statistical identification of seismicity phases",2008,"Geophysical Journal International",173,"3",,942,957,,5,10.1111/j.1365-246X.2008.03773.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-43449115714&partnerID=40&md5=c95e6916a855cc8c14b29a3d64ffb78a",Article,Final,"",Scopus,2-s2.0-43449115714
"Picinali, F.","35280810200","Base-rates of Negative Traits: Instructions for Use in Criminal Trials",2016,"Journal of Applied Philosophy",33,"1",,69,87,,5,10.1111/japp.12109,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84958769773&partnerID=40&md5=d338edec947eb9eda180a6bae28056cd",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84958769773
"Pichugin, O.N., Sannikov, I.N., Nikiforov, S.V., Bogdanova, V.V., Markov, A.A., Terekhov, S.A., Martemyanov, M.G.","57189489752; 55944152400; 55943956100; 57197170559; 55944141600; 36715734000; 55944213600","The forecast of hydraulic fracturing on the basis of the problem-oriented approach",2007,"Neftyanoe khozyaystvo - Oil Industry",,"5",,88,91,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-37249092500&partnerID=40&md5=bcc0c2b19b2619225ded4f57234578f0",Article,Final,"",Scopus,2-s2.0-37249092500
"Pichevin, L., Cremer, M., Giraudeau, J., Bertrand, P.","7801521925; 7102334185; 6701439539; 57225675424","A 190 ky record of lithogenic grain-size on the Namibian slope: Forging a tight link between past wind-strength and coastal upwelling dynamics",2005,"Marine Geology",218,"1-4",,81,96,,52,10.1016/j.margeo.2005.04.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-20444420939&partnerID=40&md5=e9bb8678d3122775a8605215a4da6c55",Article,Final,"",Scopus,2-s2.0-20444420939
"Picca, P., Furfaro, R.","14623256500; 12645288600","Neutron inverse kinetics via Gaussian Processes",2012,"Annals of Nuclear Energy",47,"",,146,154,,2,10.1016/j.anucene.2012.03.023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861613060&partnerID=40&md5=fabd7658ee87227cf9797f4f23f751f6",Article,Final,"",Scopus,2-s2.0-84861613060
"Piatti, C., Boiero, D., Godio, A., Socco, L.V.","23502281300; 24079942100; 6603264360; 6507238226","Improved monte carlo ID inversion of vertical electrical sounding and time-domain electromagnetic data",2010,"Near Surface Geophysics",8,"2",,117,133,,8,10.3997/1873-0604.2009055,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77950680607&partnerID=40&md5=e421af17ddfac925f1c388df224bab7a",Article,Final,"",Scopus,2-s2.0-77950680607
"Piantadosi, S.T., Tenenbaum, J.B., Goodman, N.D.","16146718300; 7006818404; 12767629400","The logical primitives of thought: Empirical foundations for compositional cognitive models",2016,"Psychological Review",123,"4",,392,424,,36,10.1037/a0039980,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962915587&partnerID=40&md5=f1845f6ebc93853b8f7e44b515683186",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-84962915587
